id,value
id_0,40.000000
id_1,14.000000
id_2,9.000000
id_3,14.000000
id_4,26.000000
id_5,111.000000
id_6,29.000000
id_7,36.000000
id_8,41.000000
id_9,21.000000
id_10,24.000000
id_11,41.000000
id_12,42.000000
id_13,15.000000
id_14,25.000000
id_15,40.000000
id_16,35.000000
id_17,49.000000
id_18,25.000000
id_19,12.000000
id_20,29.000000
id_21,35.000000
id_22,52.000000
id_23,48.000000
id_24,20.000000
id_25,12.000000
id_26,47.000000
id_27,30.000000
id_28,68.000000
id_29,18.000000
id_30,17.000000
id_31,44.000000
id_32,34.000000
id_33,27.000000
id_34,54.000000
id_35,39.000000
id_36,13.000000
id_37,52.000000
id_38,22.000000
id_39,5.000000
id_40,22.000000
id_41,4.000000
id_42,45.000000
id_43,26.000000
id_44,54.000000
id_45,44.000000
id_46,36.000000
id_47,23.000000
id_48,24.000000
id_49,60.000000
id_50,22.000000
id_51,46.000000
id_52,20.000000
id_53,32.000000
id_54,15.000000
id_55,33.000000
id_56,42.000000
id_57,23.000000
id_58,22.000000
id_59,16.000000
id_60,61.000000
id_61,86.000000
id_62,37.000000
id_63,24.000000
id_64,19.000000
id_65,35.000000
id_66,38.000000
id_67,12.000000
id_68,52.000000
id_69,9.000000
id_70,12.000000
id_71,31.000000
id_72,32.000000
id_73,12.000000
id_74,43.000000
id_75,60.000000
id_76,17.000000
id_77,37.000000
id_78,74.000000
id_79,40.000000
id_80,51.000000
id_81,19.000000
id_82,15.000000
id_83,34.000000
id_84,11.000000
id_85,10.000000
id_86,27.000000
id_87,86.000000
id_88,29.000000
id_89,50.000000
id_90,18.000000
id_91,65.000000
id_92,58.000000
id_93,8.000000
id_94,22.000000
id_95,31.000000
id_96,24.000000
id_97,1.000000
id_98,17.000000
id_99,37.000000
id_100,21.000000
id_101,47.000000
id_102,32.000000
id_103,35.000000
id_104,35.000000
id_105,31.000000
id_106,17.000000
id_107,39.000000
id_108,10.000000
id_109,74.000000
id_110,32.000000
id_111,68.000000
id_112,20.000000
id_113,24.000000
id_114,25.000000
id_115,35.000000
id_116,36.000000
id_117,27.000000
id_118,28.000000
id_119,43.000000
id_120,25.000000
id_121,36.000000
id_122,61.000000
id_123,3.000000
id_124,38.000000
id_125,4.000000
id_126,31.000000
id_127,16.000000
id_128,30.000000
id_129,49.000000
id_130,6.000000
id_131,48.000000
id_132,21.000000
id_133,3.000000
id_134,22.000000
id_135,29.000000
id_136,71.000000
id_137,95.000000
id_138,27.000000
id_139,55.000000
id_140,74.000000
id_141,19.000000
id_142,48.000000
id_143,33.000000
id_144,32.000000
id_145,16.000000
id_146,37.000000
id_147,47.000000
id_148,32.000000
id_149,21.000000
id_150,43.000000
id_151,34.000000
id_152,57.000000
id_153,21.000000
id_154,12.000000
id_155,63.000000
id_156,14.000000
id_157,26.000000
id_158,42.000000
id_159,26.000000
id_160,12.000000
id_161,103.000000
id_162,60.000000
id_163,33.000000
id_164,36.000000
id_165,33.000000
id_166,44.000000
id_167,56.000000
id_168,14.000000
id_169,23.000000
id_170,35.000000
id_171,29.000000
id_172,27.000000
id_173,36.000000
id_174,87.000000
id_175,52.000000
id_176,18.000000
id_177,25.000000
id_178,66.000000
id_179,28.000000
id_180,17.000000
id_181,30.000000
id_182,20.000000
id_183,31.000000
id_184,12.000000
id_185,36.000000
id_186,34.000000
id_187,47.000000
id_188,73.000000
id_189,55.000000
id_190,7.000000
id_191,23.000000
id_192,14.000000
id_193,32.000000
id_194,28.000000
id_195,16.000000
id_196,14.000000
id_197,14.000000
id_198,23.000000
id_199,13.000000
id_200,9.000000
id_201,27.000000
id_202,28.000000
id_203,72.000000
id_204,46.000000
id_205,19.000000
id_206,64.000000
id_207,49.000000
id_208,25.000000
id_209,28.000000
id_210,45.000000
id_211,35.000000
id_212,32.000000
id_213,36.000000
id_214,17.000000
id_215,6.000000
id_216,46.000000
id_217,7.000000
id_218,34.000000
id_219,98.000000
id_220,52.000000
id_221,17.000000
id_222,36.000000
id_223,89.000000
id_224,33.000000
id_225,19.000000
id_226,15.000000
id_227,47.000000
id_228,35.000000
id_229,36.000000
id_230,10.000000
id_231,32.000000
id_232,5.000000
id_233,32.000000
id_234,59.000000
id_235,23.000000
id_236,16.000000
id_237,13.000000
id_238,13.000000
id_239,35.000000
id_240,26.000000
id_241,70.000000
id_242,37.000000
id_243,37.000000
id_244,60.000000
id_245,38.000000
id_246,43.000000
id_247,48.000000
id_248,20.000000
id_249,3.000000
id_250,16.000000
id_251,35.000000
id_252,13.000000
id_253,27.000000
id_254,16.000000
id_255,32.000000
id_256,38.000000
id_257,8.000000
id_258,29.000000
id_259,41.000000
